,Feature,Coefficient,Abs_Coefficient
457,county_code_06025,-3.84E-05,3.8384488319782265e-05
458,county_code_06027,-3.35E-05,3.353386927451794e-05
40,county_code_06029,0.023921769425069826,0.023921769425069826
128,county_code_06031,0.003922791,0.003922791
347,county_code_06033,-0.000378826,0.000378826
314,county_code_06035,0.000600179,0.000600179
28,county_code_06037,-0.039995408,0.039995408
192,county_code_06039,0.001998263,0.001998263
230,county_code_06041,0.001335458,0.001335458
349,county_code_06043,-0.00037684,0.00037684
303,county_code_06045,-0.000638116,0.000638116
117,county_code_06047,0.004488116,0.004488116
513,county_code_06049,1.6076335637265111e-06,1.6076335637265111e-06
459,county_code_06051,-3.29E-05,3.292475477551665e-05
156,county_code_06053,-0.003016828,0.003016828
235,county_code_06055,-0.001291069,0.001291069
315,county_code_06057,0.000590544,0.000590544
54,county_code_06059,-0.015278108,0.015278108017912167
73,county_code_06061,0.009882235,0.009882235
443,county_code_06063,6.742074911310114e-05,6.742074911310114e-05
101,county_code_06065,-0.006258091,0.006258091
44,county_code_06067,0.020854001,0.020854001
312,county_code_06069,0.000605323,0.000605323
100,county_code_06071,0.006355864,0.006355864
168,county_code_06073,0.002674418,0.002674418
208,county_code_06075,0.001739358,0.001739358
132,county_code_06077,0.00375108,0.00375108
159,county_code_06079,0.002988823,0.002988823
400,county_code_06081,-0.000151697,0.000151697
161,county_code_06083,0.002874594,0.002874594
87,county_code_06085,-0.00773302,0.00773302
428,county_code_06087,9.761487372122978e-05,9.761487372122978e-05
111,county_code_06089,0.005008202,0.005008202
451,county_code_06091,4.821006560644676e-05,4.821006560644676e-05
307,county_code_06093,0.000630658,0.000630658
