county_code,activity_year,census_tract,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
48029,2020,48029182103,2491,0.3998,1.97,791,966,17
48029,2020,48029160702,5025,0.9499,0.5,727,1320,47
48029,2020,48029181301,4541,0.6714,0.9,538,1009,31
48029,2020,48029180702,7300,0.7178,1.0,928,1513,40
48029,2020,48029181505,4786,0.627,1.16,1320,1757,42
48029,2020,48029181822,5151,0.6488,1.29,1139,1651,28
48029,2020,48029181724,5691,0.5762,1.7,1311,1585,12
48029,2020,48029121507,4498,0.5876,0.75,1123,1780,38
48029,2020,48029171100,3581,0.9774,0.44,752,1195,56
48029,2020,48029171301,2926,0.9518,0.55,544,883,53
48029,2020,48029181721,3954,0.7398,1.26,1021,1127,20
48029,2020,48029171925,9700,0.7414,1.16,2450,2901,22
